County,BowAndArrow,Crossbow,Gun,Muzzleloader,Unknown,Total,Year
Union,0,0,0,0,,0,2017
Union,0,0,0,0,,0,2018
Union,0,0,0,0,,0,2019
Union,0,0,0,0,,0,2020
Union,0,0,0,0,,0,2021
Vance,0,0,1,0,0,1,2015
Vance,0,0,3,0,0,3,2016
Vance,0,0,2,0,,2,2017
Vance,0,0,1,0,,1,2018
Vance,0,0,2,0,,2,2019
Vance,0,0,3,0,,3,2020
Vance,0,0,5,0,,5,2021
Wake,0,0,0,0,0,0,2015
Wake,0,0,0,0,0,0,2016
Wake,0,0,0,0,,0,2017
Wake,0,0,1,0,,1,2018
Wake,0,0,0,0,,0,2019
Wake,0,0,0,0,,0,2020
Wake,0,0,0,0,,0,2021
Warren,0,0,4,0,0,4,2015
Warren,0,0,11,1,0,12,2016
Warren,0,0,7,0,,7,2017
Warren,0,0,15,0,,15,2018
Warren,0,0,17,0,,17,2019
Warren,0,0,11,1,,12,2020
Warren,0,0,8,0,,8,2021
Washington,3,1,100,1,0,105,2015
Washington,4,1,126,0,0,131,2016
Washington,3,0,95,3,,101,2017
Washington,1,0,122,2,,125,2018
Washington,3,0,96,0,,99,2019
Washington,2,0,117,0,,119,2020
Washington,0,0,113,1,,114,2021
Watauga,5,1,17,3,0,26,2015
Watauga,2,1,6,1,0,10,2016
Watauga,3,0,11,0,,14,2017
Watauga,4,2,11,1,,18,2018
Watauga,4,1,12,3,,20,2019
Watauga,2,0,7,5,,14,2020
Watauga,1,1,14,3,,19,2021
Wayne,0,0,0,0,0,0,2015
Wayne,0,0,0,0,0,0,2016
Wayne,0,0,1,0,,1,2017
Wayne,0,0,1,0,,1,2018
Wayne,0,0,1,0,,1,2019
Wayne,0,0,2,0,,2,2020
Wayne,0,0,1,0,,1,2021
Wilkes,0,4,20,5,0,29,2015
Wilkes,1,0,14,12,0,27,2016
Wilkes,5,2,19,9,,35,2017
Wilkes,2,2,38,20,,62,2018
Wilkes,1,1,29,15,,46,2019
Wilkes,0,2,28,10,,40,2020
Wilkes,0,1,22,7,,30,2021
Wilson,0,0,3,0,0,3,2015
Wilson,0,0,4,0,0,4,2016
Wilson,0,0,4,0,,4,2017
Wilson,0,0,0,0,,0,2018
Wilson,0,0,5,0,,5,2019
Wilson,0,0,5,0,,5,2020
Wilson,1,0,3,0,,4,2021
Yadkin,0,0,0,0,0,0,2015
Yadkin,0,0,0,0,0,0,2016
Yadkin,0,0,0,0,,0,2017
Yadkin,0,0,1,0,,1,2018
Yadkin,0,0,0,0,,0,2019
Yadkin,0,0,0,0,,0,2020
Yadkin,0,0,0,0,,0,2021
Yancey,8,1,73,0,1,83,2015
Yancey,3,2,92,0,0,97,2016
Yancey,11,4,94,0,,109,2017
Yancey,5,2,77,0,,84,2018
Yancey,5,2,87,0,,94,2019
Yancey,2,3,72,1,,78,2020
Yancey,4,2,81,0,,87,2021
